annee;code_NAF1;libelle_NAF1;NAF1;code_NAF5;libelle_NAF5;NAF5;risque;nb_jours_arret_travail;nb_jours_arret_travail_txt
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Accidents de trajet;6;6
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Accidents du travail;271;271
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Tous risques confondus;277;277
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;Accidents du travail;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;Tous risques confondus;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;Accidents du travail;89;89
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;Tous risques confondus;89;89
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0141Z;Élevage de vaches laitières;0141Z - Élevage de vaches laitières;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0141Z;Élevage de vaches laitières;0141Z - Élevage de vaches laitières;Accidents du travail;37;37
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0141Z;Élevage de vaches laitières;0141Z - Élevage de vaches laitières;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0141Z;Élevage de vaches laitières;0141Z - Élevage de vaches laitières;Tous risques confondus;37;37
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0142Z;Élevage d'autres bovins et de buffles;0142Z - Élevage d'autres bovins et de buffles;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0142Z;Élevage d'autres bovins et de buffles;0142Z - Élevage d'autres bovins et de buffles;Accidents du travail;357;357
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0142Z;Élevage d'autres bovins et de buffles;0142Z - Élevage d'autres bovins et de buffles;Maladies professionnelles;28;28
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0142Z;Élevage d'autres bovins et de buffles;0142Z - Élevage d'autres bovins et de buffles;Tous risques confondus;385;385
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0143Z;Élevage de chevaux et d'autres équidés;0143Z - Élevage de chevaux et d'autres équidés;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0143Z;Élevage de chevaux et d'autres équidés;0143Z - Élevage de chevaux et d'autres équidés;Accidents du travail;63;63
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0143Z;Élevage de chevaux et d'autres équidés;0143Z - Élevage de chevaux et d'autres équidés;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0143Z;Élevage de chevaux et d'autres équidés;0143Z - Élevage de chevaux et d'autres équidés;Tous risques confondus;63;63
