annee;code_NAF1;libelle_NAF1;NAF1;code_NAF5;libelle_NAF5;NAF5;ordre_taille_entreprise;taille_entreprise;nb_entreprises;nb_salaries;nb_salaries_int;nb_entreprises_int
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0119Z;Autres cultures non permanentes;0119Z - Autres cultures non permanentes;7;'500 et plus;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0119Z;Autres cultures non permanentes;0119Z - Autres cultures non permanentes;;'Toutes tranches d'effectifs confondues;54;121;121;54
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0121Z;Culture de la vigne;0121Z - Culture de la vigne;1;'Moins de 10;43;63;63;43
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0121Z;Culture de la vigne;0121Z - Culture de la vigne;2;'10-19;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0121Z;Culture de la vigne;0121Z - Culture de la vigne;3;'20-49;NS;NS;;
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0121Z;Culture de la vigne;0121Z - Culture de la vigne;4;'50-149;NS;NS;;
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0121Z;Culture de la vigne;0121Z - Culture de la vigne;5;'150-199;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0121Z;Culture de la vigne;0121Z - Culture de la vigne;6;'200-499;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0121Z;Culture de la vigne;0121Z - Culture de la vigne;7;'500 et plus;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0121Z;Culture de la vigne;0121Z - Culture de la vigne;;'Toutes tranches d'effectifs confondues;44;138;138;44
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;1;'Moins de 10;274;618;618;274
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;2;'10-19;22;288;288;22
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;3;'20-49;42;1505;1505;42
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;4;'50-149;18;1191;1191;18
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;5;'150-199;NS;NS;;
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;6;'200-499;NS;NS;;
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;7;'500 et plus;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;;'Toutes tranches d'effectifs confondues;357;3777;3777;357
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;1;'Moins de 10;NS;NS;;
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;2;'10-19;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;3;'20-49;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;4;'50-149;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;5;'150-199;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;6;'200-499;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;7;'500 et plus;0;0;0;0
