annee;code_NAF5;libelle_NAF5;sexe
2020;1624Z;Fabrication d'emballages en bois;Hommes
2020;1629Z;"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie";Femmes
2020;1629Z;"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie";Hommes
2020;1711Z;Fabrication de pâte à papier;Femmes
2020;1711Z;Fabrication de pâte à papier;Hommes
2020;1712Z;Fabrication de papier et de carton;Femmes
2020;1712Z;Fabrication de papier et de carton;Hommes
2020;1721A;Fabrication de carton ondulé;Femmes
2020;1721A;Fabrication de carton ondulé;Hommes
2020;1721B;Fabrication de cartonnages;Femmes
2020;1721B;Fabrication de cartonnages;Hommes
2020;1721C;Fabrication d'emballages en papier;Femmes
2020;1721C;Fabrication d'emballages en papier;Hommes
2020;1722Z;Fabrication d'articles en papier à usage sanitaire ou domestique;Femmes
2020;1722Z;Fabrication d'articles en papier à usage sanitaire ou domestique;Hommes
2020;1723Z;Fabrication d'articles de papeterie;Femmes
2020;1723Z;Fabrication d'articles de papeterie;Hommes
2020;1724Z;Fabrication de papiers peints;Femmes
2020;1724Z;Fabrication de papiers peints;Hommes
2020;1729Z;Fabrication d'autres articles en papier ou en carton;Femmes
2020;1729Z;Fabrication d'autres articles en papier ou en carton;Hommes
2020;1811Z;Imprimerie de journaux;Femmes
2020;1811Z;Imprimerie de journaux;Hommes
2020;1812Z;Autre imprimerie (labeur);Femmes
2020;1812Z;Autre imprimerie (labeur);Hommes
2020;1813Z;Activités de pré-presse;Femmes
2020;1813Z;Activités de pré-presse;Hommes
2020;1814Z;Reliure et activités connexes;Femmes
2020;1814Z;Reliure et activités connexes;Hommes
2020;1820Z;Reproduction d'enregistrements;Femmes
2020;1820Z;Reproduction d'enregistrements;Hommes
2020;1910Z;Cokéfaction;Femmes
2020;1910Z;Cokéfaction;Hommes
2020;1920Z;Raffinage du pétrole;Femmes
2020;1920Z;Raffinage du pétrole;Hommes
2020;2011Z;Fabrication de gaz industriels;Femmes
2020;2011Z;Fabrication de gaz industriels;Hommes
2020;2012Z;Fabrication de colorants et de pigments;Femmes
2020;2012Z;Fabrication de colorants et de pigments;Hommes
2020;2013A;Enrichissement et retraitement de matières nucléaires;Femmes
2020;2013A;Enrichissement et retraitement de matières nucléaires;Hommes
2020;2013B;Fabrication d'autres produits chimiques inorganiques de base n.c.a.;Femmes
2020;2013B;Fabrication d'autres produits chimiques inorganiques de base n.c.a.;Hommes
2020;2014Z;Fabrication d'autres produits chimiques organiques de base;Femmes
2020;2014Z;Fabrication d'autres produits chimiques organiques de base;Hommes
2020;2015Z;Fabrication de produits azotés et d'engrais;Femmes
2020;2015Z;Fabrication de produits azotés et d'engrais;Hommes
2020;2016Z;Fabrication de matières plastiques de base;Femmes
2020;2016Z;Fabrication de matières plastiques de base;Hommes
2020;2017Z;Fabrication de caoutchouc synthétique;Femmes
2020;2017Z;Fabrication de caoutchouc synthétique;Hommes
2020;2020Z;Fabrication de pesticides et d'autres produits agrochimiques;Femmes
2020;2020Z;Fabrication de pesticides et d'autres produits agrochimiques;Hommes
2020;2030Z;Fabrication de peintures, vernis, encres et mastics;Femmes
2020;2030Z;Fabrication de peintures, vernis, encres et mastics;Hommes
2020;2041Z;Fabrication de savons, détergents et produits d'entretien;Femmes
2020;2041Z;Fabrication de savons, détergents et produits d'entretien;Hommes
2020;2042Z;Fabrication de parfums et de produits pour la toilette;Femmes
2020;2042Z;Fabrication de parfums et de produits pour la toilette;Hommes
2020;2051Z;Fabrication de produits explosifs;Femmes
2020;2051Z;Fabrication de produits explosifs;Hommes
2020;2052Z;Fabrication de colles;Femmes
2020;2052Z;Fabrication de colles;Hommes
2020;2053Z;Fabrication d'huiles essentielles;Femmes
2020;2053Z;Fabrication d'huiles essentielles;Hommes
2020;2059Z;Fabrication d'autres produits chimiques n.c.a.;Femmes
2020;2059Z;Fabrication d'autres produits chimiques n.c.a.;Hommes
2020;2060Z;Fabrication de fibres artificielles ou synthétiques;Femmes
2020;2060Z;Fabrication de fibres artificielles ou synthétiques;Hommes
2020;2110Z;Fabrication de produits pharmaceutiques de base;Femmes
