annee;risque;code_naf1;libelle_naf1;naf1;code_naf5;libelle_naf5;naf5;nb_sinistres;nb_salaries;indice_frequence;nb_sinistres_int;nb_salaries_int;indice_frequence_int
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2561Z;Traitement et revêtement des métaux;2561Z - Traitement et revêtement des métaux;110;24225;NC;110;24225;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2562A;Décolletage;2562A - Décolletage;37;9928;NC;37;9928;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2562B;Mécanique industrielle;2562B - Mécanique industrielle;220;63756;NC;220;63756;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2571Z;Fabrication de coutellerie;2571Z - Fabrication de coutellerie;10;1510;NC;10;1510;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2572Z;Fabrication de serrures et de ferrures;2572Z - Fabrication de serrures et de ferrures;45;6012;NC;45;6012;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2573A;Fabrication de moules et modèles;2573A - Fabrication de moules et modèles;25;4808;NC;25;4808;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2573B;Fabrication d'autres outillages;2573B - Fabrication d'autres outillages;43;8118;NC;43;8118;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2591Z;Fabrication de fûts et emballages métalliques similaires;2591Z - Fabrication de fûts et emballages métalliques similaires;4;478;NC;4;478;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2592Z;Fabrication d'emballages métalliques légers;2592Z - Fabrication d'emballages métalliques légers;51;7089;NC;51;7089;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2593Z;Fabrication d'articles en fils métalliques, de chaînes et de ressorts;2593Z - Fabrication d'articles en fils métalliques, de chaînes et de ressorts;58;9546;NC;58;9546;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2594Z;Fabrication de vis et de boulons;2594Z - Fabrication de vis et de boulons;29;6879;NC;29;6879;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2599A;Fabrication d'articles métalliques ménagers;2599A - Fabrication d'articles métalliques ménagers;41;4272;NC;41;4272;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2599B;Fabrication d'autres articles métalliques;2599B - Fabrication d'autres articles métalliques;66;15423;NC;66;15423;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2611Z;Fabrication de composants électroniques;2611Z - Fabrication de composants électroniques;51;29660;NC;51;29660;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2612Z;Fabrication de cartes électroniques assemblées;2612Z - Fabrication de cartes électroniques assemblées;67;17414;NC;67;17414;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2620Z;Fabrication d'ordinateurs et d'équipements périphériques;2620Z - Fabrication d'ordinateurs et d'équipements périphériques;5;4957;NC;5;4957;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2630Z;Fabrication d'équipements de communication;2630Z - Fabrication d'équipements de communication;16;16004;NC;16;16004;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2640Z;Fabrication de produits électroniques grand public;2640Z - Fabrication de produits électroniques grand public;3;1964;NC;3;1964;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2651A;Fabrication d'équipements d'aide à la navigation;2651A - Fabrication d'équipements d'aide à la navigation;15;27441;NC;15;27441;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2651B;Fabrication d'instrumentation scientifique et technique;2651B - Fabrication d'instrumentation scientifique et technique;50;24934;NC;50;24934;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2652Z;Horlogerie;2652Z - Horlogerie;6;1511;NC;6;1511;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2660Z;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques;2660Z - Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques;4;5259;NC;4;5259;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2670Z;Fabrication de matériels optique et photographique;2670Z - Fabrication de matériels optique et photographique;6;3890;NC;6;3890;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2680Z;Fabrication de supports magnétiques et optiques;2680Z - Fabrication de supports magnétiques et optiques;0;50;NC;0;50;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2711Z;Fabrication de moteurs, génératrices et transformateurs électriques;2711Z - Fabrication de moteurs, génératrices et transformateurs électriques;64;15349;NC;64;15349;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2712Z;Fabrication de matériel de distribution et de commande électrique;2712Z - Fabrication de matériel de distribution et de commande électrique;107;30955;NC;107;30955;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2720Z;Fabrication de piles et d'accumulateurs électriques;2720Z - Fabrication de piles et d'accumulateurs électriques;21;6514;NC;21;6514;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2731Z;Fabrication de câbles de fibres optiques;2731Z - Fabrication de câbles de fibres optiques;11;1264;NC;11;1264;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2732Z;Fabrication d'autres fils et câbles électroniques ou électriques;2732Z - Fabrication d'autres fils et câbles électroniques ou électriques;28;8357;NC;28;8357;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2733Z;Fabrication de matériel d'installation électrique;2733Z - Fabrication de matériel d'installation électrique;51;11449;NC;51;11449;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2740Z;Fabrication d'appareils d'éclairage électrique;2740Z - Fabrication d'appareils d'éclairage électrique;70;10764;NC;70;10764;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2751Z;Fabrication d'appareils électroménagers;2751Z - Fabrication d'appareils électroménagers;42;7977;NC;42;7977;
