annee;code_NAF1;libelle_NAF1;NAF1;code_NAF5;libelle_NAF5;NAF5;nb_MP_psy;nb_mp_psy_int
2015;C;Industrie manufacturière;C - Industrie manufacturière;1011Z;Transformation et conservation de la viande de boucherie;1011Z - Transformation et conservation de la viande de boucherie;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1012Z;Transformation et conservation de la viande de volaille;1012Z - Transformation et conservation de la viande de volaille;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1013A;Préparation industrielle de produits à base de viande;1013A - Préparation industrielle de produits à base de viande;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1013B;Charcuterie;1013B - Charcuterie;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1020Z;Transformation et conservation de poisson, de crustacés et de mollusques;1020Z - Transformation et conservation de poisson, de crustacés et de mollusques;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1031Z;Transformation et conservation de pommes de terre;1031Z - Transformation et conservation de pommes de terre;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1032Z;Préparation de jus de fruits et légumes;1032Z - Préparation de jus de fruits et légumes;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1039A;Autre transformation et conservation de légumes;1039A - Autre transformation et conservation de légumes;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1039B;Transformation et conservation de fruits;1039B - Transformation et conservation de fruits;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1041A;Fabrication d'huiles et graisses brutes;1041A - Fabrication d'huiles et graisses brutes;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1041B;Fabrication d'huiles et graisses raffinées;1041B - Fabrication d'huiles et graisses raffinées;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1042Z;Fabrication de margarine et graisses comestibles similaires;1042Z - Fabrication de margarine et graisses comestibles similaires;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1051A;Fabrication de lait liquide et de produits frais;1051A - Fabrication de lait liquide et de produits frais;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1051B;Fabrication de beurre;1051B - Fabrication de beurre;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1051C;Fabrication de fromage;1051C - Fabrication de fromage;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1051D;Fabrication d'autres produits laitiers;1051D - Fabrication d'autres produits laitiers;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1052Z;Fabrication de glaces et sorbets;1052Z - Fabrication de glaces et sorbets;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1061A;Meunerie;1061A - Meunerie;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1061B;Autres activités du travail des grains;1061B - Autres activités du travail des grains;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1062Z;Fabrication de produits amylacés;1062Z - Fabrication de produits amylacés;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1071A;Fabrication industrielle de pain et de pâtisserie fraîche;1071A - Fabrication industrielle de pain et de pâtisserie fraîche;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1071B;Cuisson de produits de boulangerie;1071B - Cuisson de produits de boulangerie;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1071C;Boulangerie et boulangerie-pâtisserie;1071C - Boulangerie et boulangerie-pâtisserie;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1071D;Pâtisserie;1071D - Pâtisserie;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1072Z;Fabrication de biscuits, biscottes et pâtisseries de conservation;1072Z - Fabrication de biscuits, biscottes et pâtisseries de conservation;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1073Z;Fabrication de pâtes alimentaires;1073Z - Fabrication de pâtes alimentaires;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1081Z;Fabrication de sucre;1081Z - Fabrication de sucre;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1082Z;Fabrication de cacao, chocolat et de produits de confiserie;1082Z - Fabrication de cacao, chocolat et de produits de confiserie;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1083Z;Transformation du thé et du café;1083Z - Transformation du thé et du café;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1084Z;Fabrication de condiments et assaisonnements;1084Z - Fabrication de condiments et assaisonnements;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1085Z;Fabrication de plats préparés;1085Z - Fabrication de plats préparés;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1086Z;Fabrication d'aliments homogénéisés et diététiques;1086Z - Fabrication d'aliments homogénéisés et diététiques;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1089Z;Fabrication d'autres produits alimentaires n.c.a.;1089Z - Fabrication d'autres produits alimentaires n.c.a.;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1091Z;Fabrication d'aliments pour animaux de ferme;1091Z - Fabrication d'aliments pour animaux de ferme;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1092Z;Fabrication d'aliments pour animaux de compagnie;1092Z - Fabrication d'aliments pour animaux de compagnie;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1101Z;Production de boissons alcooliques distillées;1101Z - Production de boissons alcooliques distillées;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1102A;Fabrication de vins effervescents;1102A - Fabrication de vins effervescents;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1102B;Vinification;1102B - Vinification;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1103Z;Fabrication de cidre et de vins de fruits;1103Z - Fabrication de cidre et de vins de fruits;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1104Z;Production d'autres boissons fermentées non distillées;1104Z - Production d'autres boissons fermentées non distillées;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1105Z;Fabrication de bière;1105Z - Fabrication de bière;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1106Z;Fabrication de malt;1106Z - Fabrication de malt;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1107A;Industrie des eaux de table;1107A - Industrie des eaux de table;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1107B;Production de boissons rafraîchissantes;1107B - Production de boissons rafraîchissantes;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1200Z;Fabrication de produits à base de tabac;1200Z - Fabrication de produits à base de tabac;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1310Z;Préparation de fibres textiles et filature;1310Z - Préparation de fibres textiles et filature;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1320Z;Tissage;1320Z - Tissage;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1330Z;Ennoblissement textile;1330Z - Ennoblissement textile;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1391Z;Fabrication d'étoffes à mailles;1391Z - Fabrication d'étoffes à mailles;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1392Z;Fabrication d'articles textiles, sauf habillement;1392Z - Fabrication d'articles textiles, sauf habillement;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1393Z;Fabrication de tapis et moquettes;1393Z - Fabrication de tapis et moquettes;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1394Z;Fabrication de ficelles, cordes et filets;1394Z - Fabrication de ficelles, cordes et filets;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1395Z;Fabrication de non-tissés, sauf habillement;1395Z - Fabrication de non-tissés, sauf habillement;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1396Z;Fabrication d'autres textiles techniques et industriels;1396Z - Fabrication d'autres textiles techniques et industriels;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1399Z;Fabrication d'autres textiles n.c.a.;1399Z - Fabrication d'autres textiles n.c.a.;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1411Z;Fabrication de vêtements en cuir;1411Z - Fabrication de vêtements en cuir;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1412Z;Fabrication de vêtements de travail;1412Z - Fabrication de vêtements de travail;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1413Z;Fabrication de vêtements de dessus;1413Z - Fabrication de vêtements de dessus;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1414Z;Fabrication de vêtements de dessous;1414Z - Fabrication de vêtements de dessous;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1419Z;Fabrication d'autres vêtements et accessoires;1419Z - Fabrication d'autres vêtements et accessoires;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1420Z;Fabrication d'articles en fourrure;1420Z - Fabrication d'articles en fourrure;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1431Z;Fabrication d'articles chaussants à mailles;1431Z - Fabrication d'articles chaussants à mailles;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1439Z;Fabrication d'autres articles à mailles;1439Z - Fabrication d'autres articles à mailles;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1511Z;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures";"1511Z - Apprêt et tannage des cuirs ; préparation et teinture des fourrures";0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1512Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie;1512Z - Fabrication d'articles de voyage, de maroquinerie et de sellerie;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1520Z;Fabrication de chaussures;1520Z - Fabrication de chaussures;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1610A;Sciage et rabotage du bois, hors imprégnation;1610A - Sciage et rabotage du bois, hors imprégnation;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1610B;Imprégnation du bois;1610B - Imprégnation du bois;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1621Z;Fabrication de placage et de panneaux de bois;1621Z - Fabrication de placage et de panneaux de bois;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1622Z;Fabrication de parquets assemblés;1622Z - Fabrication de parquets assemblés;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1623Z;Fabrication de charpentes et d'autres menuiseries;1623Z - Fabrication de charpentes et d'autres menuiseries;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1624Z;Fabrication d'emballages en bois;1624Z - Fabrication d'emballages en bois;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1629Z;"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie";"1629Z - Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie";0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1711Z;Fabrication de pâte à papier;1711Z - Fabrication de pâte à papier;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;1712Z;Fabrication de papier et de carton;1712Z - Fabrication de papier et de carton;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1721A;Fabrication de carton ondulé;1721A - Fabrication de carton ondulé;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1721B;Fabrication de cartonnages;1721B - Fabrication de cartonnages;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1721C;Fabrication d'emballages en papier;1721C - Fabrication d'emballages en papier;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1722Z;Fabrication d'articles en papier à usage sanitaire ou domestique;1722Z - Fabrication d'articles en papier à usage sanitaire ou domestique;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1723Z;Fabrication d'articles de papeterie;1723Z - Fabrication d'articles de papeterie;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1724Z;Fabrication de papiers peints;1724Z - Fabrication de papiers peints;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1729Z;Fabrication d'autres articles en papier ou en carton;1729Z - Fabrication d'autres articles en papier ou en carton;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1811Z;Imprimerie de journaux;1811Z - Imprimerie de journaux;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1812Z;Autre imprimerie (labeur);1812Z - Autre imprimerie (labeur);2;2
2015;C;Industrie manufacturière;C - Industrie manufacturière;1813Z;Activités de pré-presse;1813Z - Activités de pré-presse;2;2
2015;C;Industrie manufacturière;C - Industrie manufacturière;1814Z;Reliure et activités connexes;1814Z - Reliure et activités connexes;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1820Z;Reproduction d'enregistrements;1820Z - Reproduction d'enregistrements;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1910Z;Cokéfaction;1910Z - Cokéfaction;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;1920Z;Raffinage du pétrole;1920Z - Raffinage du pétrole;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2011Z;Fabrication de gaz industriels;2011Z - Fabrication de gaz industriels;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;2012Z;Fabrication de colorants et de pigments;2012Z - Fabrication de colorants et de pigments;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2013A;Enrichissement et retraitement de matières nucléaires;2013A - Enrichissement et retraitement de matières nucléaires;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2013B;Fabrication d'autres produits chimiques inorganiques de base n.c.a.;2013B - Fabrication d'autres produits chimiques inorganiques de base n.c.a.;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2014Z;Fabrication d'autres produits chimiques organiques de base;2014Z - Fabrication d'autres produits chimiques organiques de base;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2015Z;Fabrication de produits azotés et d'engrais;2015Z - Fabrication de produits azotés et d'engrais;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2016Z;Fabrication de matières plastiques de base;2016Z - Fabrication de matières plastiques de base;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2017Z;Fabrication de caoutchouc synthétique;2017Z - Fabrication de caoutchouc synthétique;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2020Z;Fabrication de pesticides et d'autres produits agrochimiques;2020Z - Fabrication de pesticides et d'autres produits agrochimiques;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;2030Z;Fabrication de peintures, vernis, encres et mastics;2030Z - Fabrication de peintures, vernis, encres et mastics;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2041Z;Fabrication de savons, détergents et produits d'entretien;2041Z - Fabrication de savons, détergents et produits d'entretien;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2042Z;Fabrication de parfums et de produits pour la toilette;2042Z - Fabrication de parfums et de produits pour la toilette;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;2051Z;Fabrication de produits explosifs;2051Z - Fabrication de produits explosifs;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2052Z;Fabrication de colles;2052Z - Fabrication de colles;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2053Z;Fabrication d'huiles essentielles;2053Z - Fabrication d'huiles essentielles;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2059Z;Fabrication d'autres produits chimiques n.c.a.;2059Z - Fabrication d'autres produits chimiques n.c.a.;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;2060Z;Fabrication de fibres artificielles ou synthétiques;2060Z - Fabrication de fibres artificielles ou synthétiques;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2110Z;Fabrication de produits pharmaceutiques de base;2110Z - Fabrication de produits pharmaceutiques de base;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2120Z;Fabrication de préparations pharmaceutiques;2120Z - Fabrication de préparations pharmaceutiques;2;2
2015;C;Industrie manufacturière;C - Industrie manufacturière;2211Z;Fabrication et rechapage de pneumatiques;2211Z - Fabrication et rechapage de pneumatiques;1;1
2015;C;Industrie manufacturière;C - Industrie manufacturière;2219Z;Fabrication d'autres articles en caoutchouc;2219Z - Fabrication d'autres articles en caoutchouc;2;2
2015;C;Industrie manufacturière;C - Industrie manufacturière;2221Z;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;2221Z - Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2222Z;Fabrication d'emballages en matières plastiques;2222Z - Fabrication d'emballages en matières plastiques;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2223Z;Fabrication d'éléments en matières plastiques pour la construction;2223Z - Fabrication d'éléments en matières plastiques pour la construction;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2229A;Fabrication de pièces techniques à base de matières plastiques;2229A - Fabrication de pièces techniques à base de matières plastiques;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2229B;Fabrication de produits de consommation courante en matières plastiques;2229B - Fabrication de produits de consommation courante en matières plastiques;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2311Z;Fabrication de verre plat;2311Z - Fabrication de verre plat;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2312Z;Façonnage et transformation du verre plat;2312Z - Façonnage et transformation du verre plat;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2313Z;Fabrication de verre creux;2313Z - Fabrication de verre creux;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2314Z;Fabrication de fibres de verre;2314Z - Fabrication de fibres de verre;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2319Z;Fabrication et façonnage d'autres articles en verre, y compris verre technique;2319Z - Fabrication et façonnage d'autres articles en verre, y compris verre technique;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2320Z;Fabrication de produits réfractaires;2320Z - Fabrication de produits réfractaires;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2331Z;Fabrication de carreaux en céramique;2331Z - Fabrication de carreaux en céramique;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2332Z;Fabrication de briques, tuiles et produits de construction, en terre cuite;2332Z - Fabrication de briques, tuiles et produits de construction, en terre cuite;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2341Z;Fabrication d'articles céramiques à usage domestique ou ornemental;2341Z - Fabrication d'articles céramiques à usage domestique ou ornemental;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2342Z;Fabrication d'appareils sanitaires en céramique;2342Z - Fabrication d'appareils sanitaires en céramique;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2343Z;Fabrication d'isolateurs et pièces isolantes en céramique;2343Z - Fabrication d'isolateurs et pièces isolantes en céramique;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2344Z;Fabrication d'autres produits céramiques à usage technique;2344Z - Fabrication d'autres produits céramiques à usage technique;0;0
2015;C;Industrie manufacturière;C - Industrie manufacturière;2349Z;Fabrication d'autres produits céramiques;2349Z - Fabrication d'autres produits céramiques;0;0
