annee;code_NAF5;libelle_NAF5;risque;nb_jours_arret_travail
2017;8790B;Hébergement social pour adultes et familles en difficultés et autre hébergement social;Accidents du travail;75079.0
2017;8790B;Hébergement social pour adultes et familles en difficultés et autre hébergement social;Maladies professionnelles;8129.0
2017;8810A;Aide à domicile;Accidents de trajet;227418.0
2017;8810A;Aide à domicile;Accidents du travail;1515811.0
2017;8810A;Aide à domicile;Maladies professionnelles;309590.0
2017;8810B;Accueil ou accompagnement sans hébergement d'adultes handicapés ou de personnes âgées;Accidents de trajet;3850.0
2017;8810B;Accueil ou accompagnement sans hébergement d'adultes handicapés ou de personnes âgées;Accidents du travail;31003.0
2017;8810B;Accueil ou accompagnement sans hébergement d'adultes handicapés ou de personnes âgées;Maladies professionnelles;4578.0
2017;8810C;Aide par le travail;Accidents de trajet;74368.0
2017;8810C;Aide par le travail;Accidents du travail;243068.0
2017;8810C;Aide par le travail;Maladies professionnelles;33943.0
2017;8891A;Accueil de jeunes enfants;Accidents de trajet;29732.0
2017;8891A;Accueil de jeunes enfants;Accidents du travail;119982.0
2017;8891A;Accueil de jeunes enfants;Maladies professionnelles;20992.0
2017;8891B;Accueil ou accompagnement sans hébergement d'enfants handicapés;Accidents de trajet;6670.0
2017;8891B;Accueil ou accompagnement sans hébergement d'enfants handicapés;Accidents du travail;33550.0
2017;8891B;Accueil ou accompagnement sans hébergement d'enfants handicapés;Maladies professionnelles;4752.0
2017;8899A;Autre accueil ou accompagnement sans hébergement d'enfants et d'adolescents;Accidents de trajet;3807.0
2017;8899A;Autre accueil ou accompagnement sans hébergement d'enfants et d'adolescents;Accidents du travail;18249.0
2017;8899A;Autre accueil ou accompagnement sans hébergement d'enfants et d'adolescents;Maladies professionnelles;1508.0
2017;8899B;Action sociale sans hébergement n.c.a.;Accidents de trajet;83009.0
2017;8899B;Action sociale sans hébergement n.c.a.;Accidents du travail;438818.0
2017;8899B;Action sociale sans hébergement n.c.a.;Maladies professionnelles;87758.0
2017;9001Z;Arts du spectacle vivant;Accidents de trajet;7921.0
2017;9001Z;Arts du spectacle vivant;Accidents du travail;47277.0
2017;9001Z;Arts du spectacle vivant;Maladies professionnelles;5709.0
2017;9002Z;Activités de soutien au spectacle vivant;Accidents de trajet;2370.0
2017;9002Z;Activités de soutien au spectacle vivant;Accidents du travail;20237.0
2017;9002Z;Activités de soutien au spectacle vivant;Maladies professionnelles;1461.0
2017;9003A;Création artistique relevant des arts plastiques;Accidents de trajet;25.0
2017;9003A;Création artistique relevant des arts plastiques;Accidents du travail;1084.0
2017;9003A;Création artistique relevant des arts plastiques;Maladies professionnelles;0.0
2017;9003B;Autre création artistique;Accidents de trajet;249.0
2017;9003B;Autre création artistique;Accidents du travail;643.0
2017;9003B;Autre création artistique;Maladies professionnelles;0.0
2017;9004Z;Gestion de salles de spectacles;Accidents de trajet;3046.0
2017;9004Z;Gestion de salles de spectacles;Accidents du travail;13921.0
2017;9004Z;Gestion de salles de spectacles;Maladies professionnelles;2332.0
2017;9101Z;Gestion des bibliothèques et des archives;Accidents de trajet;725.0
2017;9101Z;Gestion des bibliothèques et des archives;Accidents du travail;556.0
2017;9101Z;Gestion des bibliothèques et des archives;Maladies professionnelles;0.0
2017;9102Z;Gestion des musées;Accidents de trajet;2472.0
2017;9102Z;Gestion des musées;Accidents du travail;3798.0
2017;9102Z;Gestion des musées;Maladies professionnelles;469.0
2017;9103Z;Gestion des sites et monuments historiques et des attractions touristiques similaires;Accidents de trajet;2404.0
2017;9103Z;Gestion des sites et monuments historiques et des attractions touristiques similaires;Accidents du travail;9816.0
2017;9103Z;Gestion des sites et monuments historiques et des attractions touristiques similaires;Maladies professionnelles;1143.0
2017;9104Z;Gestion des jardins botaniques et zoologiques et des réserves naturelles;Accidents de trajet;127.0
2017;9104Z;Gestion des jardins botaniques et zoologiques et des réserves naturelles;Accidents du travail;2375.0
2017;9104Z;Gestion des jardins botaniques et zoologiques et des réserves naturelles;Maladies professionnelles;646.0
2017;9200Z;Organisation de jeux de hasard et d'argent;Accidents de trajet;6919.0
2017;9200Z;Organisation de jeux de hasard et d'argent;Accidents du travail;27476.0
2017;9200Z;Organisation de jeux de hasard et d'argent;Maladies professionnelles;4743.0
2017;9311Z;Gestion d'installations sportives;Accidents de trajet;5088.0
2017;9311Z;Gestion d'installations sportives;Accidents du travail;46439.0
2017;9311Z;Gestion d'installations sportives;Maladies professionnelles;2948.0
2017;9312Z;Activités de clubs de sports;Accidents de trajet;6832.0
2017;9312Z;Activités de clubs de sports;Accidents du travail;241132.0
2017;9312Z;Activités de clubs de sports;Maladies professionnelles;3629.0
2017;9313Z;Activités des centres de culture physique;Accidents de trajet;1711.0
2017;9313Z;Activités des centres de culture physique;Accidents du travail;10643.0
